+----------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------+
| Name                                   | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                    |
| berkelium_247_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_247_fluoride                |
| berkelium_247_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_247_fluoride_flibe          |
| berkelium_248                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_248                         |
| berkelium_248_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_248_fluoride                |
| berkelium_248_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_248_fluoride_flibe          |
| beryllium                              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_beryllium                             |
| betterquesting.placeholder             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| bio.ethanol                            |     790 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.bio.ethanol                               |
| biocrude                               |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                                        |
| biodiesel                              |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                      |
| biofuel                                |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:biofuel                              |
| biomass                                |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:biomass                                      |
| blockfluidantimatter                   |   10000 |           0 |         1 |          0 | UNCOMMON |     false | animus:blockfluidantimatter                              |
| blockfluiddirt                         |     750 |         200 |       200 |          0 | UNCOMMON |     false | animus:blockfluiddirt                                    |
| blood                                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                                      |
| blueslime                              |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                                     |
| borax_solution                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_borax_solution                        |
| boric_acid                             |    1000 |        4000 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boric_acid                            |
| boron                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron                                 |
| boron10                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron10                               |
| boron11                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron11                               |
| boron_nitride_solution                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boron_nitride_solution                |
| bound_metal                            |    2000 |        1700 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| brass                                  |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                                  |
| brine                                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| bronze                                 |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                                 |
| calcium_sulfate_solution               |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_calcium_sulfate_solution              |
| californium_249                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_249                       |
| californium_249_fluoride               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_249_fluoride              |
| californium_249_fluoride_flibe         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_249_fluoride_flibe        |
| californium_250                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_250                       |
| californium_250_fluoride               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_250_fluoride              |
| californium_250_fluoride_flibe         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_250_fluoride_flibe        |
| californium_251                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_251                       |
| californium_251_fluoride               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_251_fluoride              |
| californium_251_fluoride_flibe         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_251_fluoride_flibe        |
| californium_252                        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_252                       |
| californium_252_fluoride               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_252_fluoride              |
| californium_252_fluoride_flibe         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_californium_252_fluoride_flibe        |
| canolaoil                              |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_canola_oil                       |
| carbon_dioxide                         |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_dioxide                        |
| carbon_monoxide                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_monoxide                       |
| chaotic_metal                          |    2000 |        3400 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| chocolate_liquor                       |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_chocolate_liquor                      |
| cider                                  |    1004 |         300 |      1400 |          0 | COMMON   |     false | -                                                        |
| clay                                   |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                                   |
| cloud_seed                             |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                           |
| cloud_seed_concentrated                |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated              |
| coal                                   |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                        |
| cobalt                                 |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                                 |
| cocoa_butter                           |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_cocoa_butter                          |
| concrete                               |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete                       |
| condensate_water                       |    1000 |         300 |       850 |          0 | COMMON   |     false | nuclearcraft:fluid_condensate_water                      |
| conductive_iron                        |    9000 |        1400 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_conductive_iron                      |
| constantan                             |    1000 |         650 |      1000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan                   |
| construction_alloy                     |    9000 |         563 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_construction_alloy                   |
| copper                                 |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                                 |
| copper_nak                             |    5000 |         300 |     15000 |          0 | COMMON   |     false | nuclearcraft:fluid_copper_nak                            |
| copper_nak_hot                         |    4000 |         700 |     10000 |          7 | COMMON   |     false | nuclearcraft:fluid_copper_nak_hot                        |
| corium                                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_corium                                |
| creosote                               |    1100 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote                       |
| crude_oil                              |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                        |
| crude_steel                            |    9000 |         413 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crude_steel                          |
| cryotheum                              |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                        |
| cryotheum_nak                          |    5000 |         300 |     15000 |          0 | COMMON   |     false | nuclearcraft:fluid_cryotheum_nak                         |
| cryotheum_nak_hot                      |    4000 |         700 |     10000 |          7 | COMMON   |     false | nuclearcraft:fluid_cryotheum_nak_hot                     |
| crystal                                |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:crystal                                      |
| crystal_matrix                         |    2000 |        2400 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| crystalline_alloy                      |    9000 |        1425 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_alloy                    |
| crystalline_pink_slime                 |    9000 |        1447 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_pink_slime               |
| crystaloil                             |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:block_crystal_oil                      |
| curium_243                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_243                            |
| curium_243_fluoride                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_243_fluoride                   |
| curium_243_fluoride_flibe              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_243_fluoride_flibe             |
| curium_245                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_245                            |
| curium_245_fluoride                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_245_fluoride                   |
| curium_245_fluoride_flibe              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_245_fluoride_flibe             |
| curium_246                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_246                            |
| curium_246_fluoride                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_246_fluoride                   |
| curium_246_fluoride_flibe              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_246_fluoride_flibe             |
| curium_247                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_247                            |
| curium_247_fluoride                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_247_fluoride                   |
| curium_247_fluoride_flibe              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_curium_247_fluoride_flibe             |
| cyanite                                |     100 |         295 |       100 |          6 | UNCOMMON |     false | bigreactors:cyanite                                      |
| dark_chocolate                         |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_dark_chocolate                        |
| dark_matter                            |    2000 |        2700 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| dark_steel                             |    9000 |        1813 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_dark_steel                           |
| depleted_fuel_hea_242                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hea_242                 |
| depleted_fuel_hea_242_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hea_242_fluoride        |
| depleted_fuel_hea_242_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hea_242_fluoride_flibe  |
| depleted_fuel_heb_248                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heb_248                 |
| depleted_fuel_heb_248_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heb_248_fluoride        |
| depleted_fuel_heb_248_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heb_248_fluoride_flibe  |
| depleted_fuel_hecf_249                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_249                |
| depleted_fuel_hecf_249_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_249_fluoride       |
| depleted_fuel_hecf_249_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_249_fluoride_flibe |
| depleted_fuel_hecf_251                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_251                |
| depleted_fuel_hecf_251_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_251_fluoride       |
| depleted_fuel_hecf_251_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecf_251_fluoride_flibe |
| depleted_fuel_hecm_243                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_243                |
| depleted_fuel_hecm_243_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_243_fluoride       |
| depleted_fuel_hecm_243_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_243_fluoride_flibe |
| depleted_fuel_hecm_245                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_245                |
| depleted_fuel_hecm_245_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_245_fluoride       |
| depleted_fuel_hecm_245_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_245_fluoride_flibe |
| depleted_fuel_hecm_247                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_247                |
| depleted_fuel_hecm_247_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_247_fluoride       |
| depleted_fuel_hecm_247_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hecm_247_fluoride_flibe |
| depleted_fuel_hen_236                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hen_236                 |
| depleted_fuel_hen_236_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hen_236_fluoride        |
| depleted_fuel_hen_236_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hen_236_fluoride_flibe  |
| depleted_fuel_hep_239                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_239                 |
| depleted_fuel_hep_239_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_239_fluoride        |
| depleted_fuel_hep_239_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_239_fluoride_flibe  |
| depleted_fuel_hep_241                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_241                 |
| depleted_fuel_hep_241_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_241_fluoride        |
| depleted_fuel_hep_241_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_hep_241_fluoride_flibe  |
| depleted_fuel_heu_233                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_233                 |
| depleted_fuel_heu_233_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_233_fluoride        |
| depleted_fuel_heu_233_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_233_fluoride_flibe  |
| depleted_fuel_heu_235                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_235                 |
| depleted_fuel_heu_235_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_235_fluoride        |
| depleted_fuel_heu_235_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_heu_235_fluoride_flibe  |
| depleted_fuel_lea_242                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lea_242                 |
| depleted_fuel_lea_242_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lea_242_fluoride        |
| depleted_fuel_lea_242_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lea_242_fluoride_flibe  |
| depleted_fuel_leb_248                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leb_248                 |
| depleted_fuel_leb_248_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leb_248_fluoride        |
| depleted_fuel_leb_248_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leb_248_fluoride_flibe  |
| depleted_fuel_lecf_249                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_249                |
| depleted_fuel_lecf_249_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_249_fluoride       |
| depleted_fuel_lecf_249_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_249_fluoride_flibe |
| depleted_fuel_lecf_251                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_251                |
| depleted_fuel_lecf_251_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_251_fluoride       |
| depleted_fuel_lecf_251_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecf_251_fluoride_flibe |
| depleted_fuel_lecm_243                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_243                |
| depleted_fuel_lecm_243_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_243_fluoride       |
| depleted_fuel_lecm_243_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_243_fluoride_flibe |
| depleted_fuel_lecm_245                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_245                |
| depleted_fuel_lecm_245_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_245_fluoride       |
| depleted_fuel_lecm_245_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_245_fluoride_flibe |
| depleted_fuel_lecm_247                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_247                |
| depleted_fuel_lecm_247_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_247_fluoride       |
| depleted_fuel_lecm_247_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lecm_247_fluoride_flibe |
| depleted_fuel_len_236                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_len_236                 |
| depleted_fuel_len_236_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_len_236_fluoride        |
| depleted_fuel_len_236_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_len_236_fluoride_flibe  |
| depleted_fuel_lep_239                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_239                 |
| depleted_fuel_lep_239_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_239_fluoride        |
| depleted_fuel_lep_239_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_239_fluoride_flibe  |
| depleted_fuel_lep_241                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_241                 |
| depleted_fuel_lep_241_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_241_fluoride        |
| depleted_fuel_lep_241_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_lep_241_fluoride_flibe  |
| depleted_fuel_leu_233                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_233                 |
| depleted_fuel_leu_233_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_233_fluoride        |
| depleted_fuel_leu_233_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_233_fluoride_flibe  |
| depleted_fuel_leu_235                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_235                 |
| depleted_fuel_leu_235_fluoride         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_235_fluoride        |
| depleted_fuel_leu_235_fluoride_flibe   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_leu_235_fluoride_flibe  |
| depleted_fuel_tbu                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_tbu                     |
| depleted_fuel_tbu_fluoride             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_tbu_fluoride            |
| depleted_fuel_tbu_fluoride_flibe       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_depleted_fuel_tbu_fluoride_flibe      |
| deuterium                              |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium                             |
| diamond                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_diamond                               |
| diamond_nak                            |    5000 |         300 |     15000 |          0 | COMMON   |     false | nuclearcraft:fluid_diamond_nak                           |
| diamond_nak_hot                        |    4000 |         700 |     10000 |          7 | COMMON   |     false | nuclearcraft:fluid_diamond_nak_hot                       |
| diborane                               |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_diborane                              |
| diesel                                 |     789 |        3900 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel                          |
| dirt                                   |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                                   |
| distwater                              |    1000 |         300 |      1000 |          0 | COMMON   |     false | immersivetech:fluiddistwater                             |
| draconic_metal                         |    2000 |        1700 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| draconium                              |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | -                                                        |
| dragonsteel_fire                       |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_fire                       |
| dragonsteel_ice                        |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_ice                        |
| ec.internal.brine                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.chlorine                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleancopper                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleangold                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleaniron                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleanlead                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleanosmium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
| ec.internal.cleansilver                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                        |
